产品,详细信息,选择队伍,赔率,投注金额 (CNY),预期盈利,状态,
体育博彩,"3011244151
电子竞技
2026-03-28 20:32:04","Yandex -1.5
Yandex-vs-Xtreme
比赛

 让球盘
Dota 2 - ESL One伯明翰站 @ 2026-03-29","2.920 
 欧洲赔率","风险金额: 517.20
(517.20)",993.02,进行中,
体育博彩,"3010041162
足球
2026-03-27 12:05:16","大盘 2.5
瑞典-vs-波兰
比赛

 大小盘
FIFA - 世界杯预选赛欧洲区 @ 2026-03-31","2.290 
 欧洲赔率","预期盈利: 18.40
(14.26)",18.4,进行中,
体育博彩,"3010041119
足球
2026-03-27 12:04:55","大盘 2.5
瑞典-vs-波兰
比赛

 大小盘
FIFA - 世界杯预选赛欧洲区 @ 2026-03-31","2.290 
 欧洲赔率","预期盈利: 990.00
(767.44)",990,进行中,
体育博彩,"3009353750
足球
2026-03-26 10:37:50","小盘 2
阿拉维斯-vs-奥萨苏纳
比赛

 大小盘
西班牙 - 西甲 @ 2026-04-05","2.150 
 欧洲赔率","预期盈利: 22.50
(19.57)",22.5,进行中,
体育博彩,"3009273007
足球
2026-03-26 07:51:36","小盘 2
阿拉维斯-vs-奥萨苏纳
比赛

 大小盘
西班牙 - 西甲 @ 2026-04-05","2.210 
 欧洲赔率","预期盈利: 990.00
(818.18)",990,进行中,
体育博彩,"3008915006
足球
2026-03-25 15:02:41","小盘 3.5
巴塞罗那-vs-马德里竞技
比赛

 大小盘
欧足联 - 冠军联赛 @ 2026-04-08","1.847 
 欧洲赔率","预期盈利: 55.60
(65.64)",55.6,进行中,
体育博彩,"3008915785
足球
2026-03-25 15:01:56","马德里竞技 +1
巴塞罗那-vs-马德里竞技
比赛

 让球盘
欧足联 - 冠军联赛 @ 2026-04-08","2.020 
 欧洲赔率","预期盈利: 20.00
(19.61)",20,进行中,
体育博彩,"3008914624
足球
2026-03-25 15:01:05","马德里竞技 +1
巴塞罗那-vs-马德里竞技
比赛

 让球盘
欧足联 - 冠军联赛 @ 2026-04-08","2.020 
 欧洲赔率","预期盈利: 990.00
(970.59)",990,进行中,
体育博彩,"3008916529
足球
2026-03-25 15:00:51","小盘 3.5
巴塞罗那-vs-马德里竞技
比赛

 大小盘
欧足联 - 冠军联赛 @ 2026-04-08","1.847 
 欧洲赔率","预期盈利: 990.00
(1168.83)",990,进行中,
体育博彩,"3008761521
足球
2026-03-25 10:36:03","巴塞罗那 -0.5
马德里竞技-vs-巴塞罗那
比赛

 让球盘
西班牙 - 西甲 @ 2026-04-04","2.310 
 欧洲赔率","预期盈利: 29.00
(22.14)",29,进行中,
体育博彩,"3008749316
足球
2026-03-25 10:10:09","巴塞罗那 -0.5
马德里竞技-vs-巴塞罗那
比赛

 让球盘
西班牙 - 西甲 @ 2026-04-04","2.340 
 欧洲赔率","预期盈利: 990.00
(738.81)",990,进行中,
体育博彩,"3008731764
足球
2026-03-25 09:45:11","巴塞罗那
马德里竞技-vs-巴塞罗那
比赛

 独赢盘
西班牙 - 西甲 @ 2026-04-04","2.250 
 欧洲赔率","预期盈利: 19.40
(15.52)",19.4,进行中,
体育博彩,"3008729764
足球
2026-03-25 09:44:28","和局
皇家奥维耶多-vs-塞维利亚
比赛

 独赢盘
西班牙 - 西甲 @ 2026-04-05","2.890 
 欧洲赔率","风险金额: 8.00
(8.00)",15.12,进行中,
体育博彩,"3008729407
足球
2026-03-25 09:43:36","和局
巴伦西亚-vs-皇家维戈塞尔塔足球俱乐部
比赛

 独赢盘
西班牙 - 西甲 @ 2026-04-05","3.380 
 欧洲赔率","风险金额: 8.00
(8.00)",19.04,进行中,
体育博彩,"3008728116
足球
2026-03-25 09:43:01","皇家维戈塞尔塔足球俱乐部 0.0
巴伦西亚-vs-皇家维戈塞尔塔足球俱乐部
比赛

 让球盘
西班牙 - 西甲 @ 2026-04-05","2.300 
 欧洲赔率","预期盈利: 32.00
(24.62)",32,进行中,
体育博彩,"3008726195
足球
2026-03-25 09:42:11","皇家贝蒂斯 -0.5
皇家贝蒂斯-vs-西班牙人
比赛

 让球盘
西班牙 - 西甲 @ 2026-04-04","1.826 
 欧洲赔率","风险金额: 136.00
(136.00)",112.34,进行中,
体育博彩,"3008724924
足球
2026-03-25 09:38:09","皇家社会 -1
皇家社会-vs-莱万
比赛

 让球盘
西班牙 - 西甲 @ 2026-04-04","2.150 
 欧洲赔率","风险金额: 50.00
(50.00)",57.5,进行中,
体育博彩,"3008719743
足球
2026-03-25 09:30:52","皇家社会 -1
皇家社会-vs-莱万
比赛

 让球盘
西班牙 - 西甲 @ 2026-04-04","2.160 
 欧洲赔率","预期盈利: 990.00
(853.45)",990,进行中,
体育博彩,"3008714051
足球
2026-03-25 09:24:45","巴塞罗那 -0.5
马德里竞技-vs-巴塞罗那
比赛

 让球盘
西班牙 - 西甲 @ 2026-04-04","2.230 
 欧洲赔率","预期盈利: 990.00
(804.88)",990,进行中,
体育博彩,"3008713835
足球
2026-03-25 09:23:22","皇家奥维耶多 0.0
皇家奥维耶多-vs-塞维利亚
比赛

 让球盘
西班牙 - 西甲 @ 2026-04-05","2.090 
 欧洲赔率","预期盈利: 26.00
(23.85)",26,进行中,
体育博彩,"3008711924
足球
2026-03-25 09:21:30","皇家奥维耶多 0.0
皇家奥维耶多-vs-塞维利亚
比赛

 让球盘
西班牙 - 西甲 @ 2026-04-05","2.100 
 欧洲赔率","预期盈利: 990.00
(900.00)",990,进行中,
体育博彩,"3008711097
足球
2026-03-25 09:21:02","皇家维戈塞尔塔足球俱乐部 0.0
巴伦西亚-vs-皇家维戈塞尔塔足球俱乐部
比赛

 让球盘
西班牙 - 西甲 @ 2026-04-05","2.350 
 欧洲赔率","预期盈利: 990.00
(733.33)",990,进行中,
体育博彩,"3008712506
足球
2026-03-25 09:20:11","皇家贝蒂斯 -0.5
皇家贝蒂斯-vs-西班牙人
比赛

 让球盘
西班牙 - 西甲 @ 2026-04-04","1.925 
 欧洲赔率","预期盈利: 1990.00
(2151.35)",1990,进行中,
体育博彩,"3008709649
足球
2026-03-25 09:19:32","皇家社会 -1
皇家社会-vs-莱万
比赛

 让球盘
西班牙 - 西甲 @ 2026-04-04","2.100 
 欧洲赔率","预期盈利: 990.00
(900.00)",990,进行中,
,总计,,,11731.27,13309.92,,
